127.0.0.1 - - [17/Sep/2016:11:57:03 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:57:07 +0530] "GET /bookstore/ HTTP/1.1" 200 11277
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:57:07 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:57:07 +0530] "GET /bookstore/resources/images/book1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:57:07 +0530] "GET /bookstore/resources/images/find.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:57:07 +0530] "GET /bookstore/resources/images/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:57:07 +0530] "GET /bookstore/resources/images/slide.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:58:30 +0530] "GET /bookstore/ HTTP/1.1" 200 11277
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:58:30 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:58:30 +0530] "GET /bookstore/resources/images/new.jpg HTTP/1.1" 200 40875
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:58:30 +0530] "GET /bookstore/resources/images/slide.jpg HTTP/1.1" 200 190395
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:58:30 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/Sep/2016:11:58:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
